"YYYY","MM","DD","ATMP","WTMP"
"4214",1999,6,25,28,28.9
"4238",1999,6,26,28,29
"4262",1999,6,27,28.6,28.8
"4286",1999,6,28,28.5,29
"4310",1999,6,29,27.7,29.1
"4334",1999,6,30,27.5,28.8
"4358",1999,7,1,27.7,29
"4382",1999,7,2,26.6,28.6
"4406",1999,7,3,25.7,28.5
"4430",1999,7,4,27.7,28.3
"4454",1999,7,5,27.7,28.5
"4478",1999,7,6,27.5,28.4
"4502",1999,7,7,27.7,28.6
"4526",1999,7,8,27.7,28.9
"4550",1999,7,9,28.4,28.9
"4574",1999,7,10,28.2,28.9
"4598",1999,7,11,28.5,28.9
"4622",1999,7,12,28,28.9
"4646",1999,7,13,28.3,28.9
"4670",1999,7,14,27.5,28.9
"4694",1999,7,15,27.9,29.1
"4718",1999,7,16,28.1,29.1
"4742",1999,7,17,27.2,29.2
"4766",1999,7,18,28.3,29
"4790",1999,7,19,28.5,28.9
"4814",1999,7,20,28.5,29.2
"4838",1999,7,21,28.7,29.3
"4862",1999,7,22,28.6,29.2
"4886",1999,7,23,28.4,29.2
"4910",1999,7,24,28.6,29.3
"4934",1999,7,25,28.8,29.5
"4958",1999,7,26,29,29.5
"4982",1999,7,27,29.4,30.2
"5006",1999,7,28,29.3,29.9
"5030",1999,7,29,29.4,30.1
"5054",1999,7,30,29.2,29.9
"5078",1999,7,31,29,30.3
"5102",1999,8,1,29.3,30
"5126",1999,8,2,29.5,30.7
"5150",1999,8,3,29.2,30.4
"5174",1999,8,4,28.9,30.4
"5198",1999,8,5,28.5,30.2
"5222",1999,8,6,28.7,30.3
"5246",1999,8,7,29.4,30.5
"5270",1999,8,8,29.5,30.3
"5294",1999,8,9,29.2,30.4
"5318",1999,8,10,29.1,30.5
"5342",1999,8,11,29.8,30.4
"5366",1999,8,12,29.3,30.4
"5390",1999,8,13,29.1,30.2
"5414",1999,8,14,29.2,30.1
"5438",1999,8,15,28.8,30
"5462",1999,8,16,28.5,30
"5486",1999,8,17,29,30.1
"5510",1999,8,18,29,29.9
"5534",1999,8,19,28.5,29.9
"5558",1999,8,20,28.6,29.8
"5582",1999,8,21,28,30
"5606",1999,8,22,29,29.9
"5630",1999,8,23,29.1,29.8
"5654",1999,8,24,28.8,29.6
"5678",1999,8,25,29.1,29.8
"5702",1999,8,26,28.2,29.9
"5726",1999,8,27,28.5,30
"5750",1999,8,28,27.7,29.9
"5774",1999,8,29,29.8,29.9
"5798",1999,8,30,29.1,30.1
"5822",1999,8,31,28.8,30.1
"5846",1999,9,1,30,30.3
"5870",1999,9,2,29.6,30.5
"5894",1999,9,3,28.7,30.3
"5918",1999,9,4,29.9,30.3
"5942",1999,9,5,29.5,30.4
"5966",1999,9,6,29.2,30.7
"6014",1999,9,8,28.6,30.3
"6038",1999,9,9,28.8,30.2
"6062",1999,9,10,27.4,30.1
"6086",1999,9,11,27.9,30
"6110",1999,9,12,29.3,30.3
"6134",1999,9,13,29.1,30.3
"6158",1999,9,14,27.7,29.4
"6182",1999,9,15,28.3,29.5
"6206",1999,9,16,27.8,29.2
"6230",1999,9,17,27.9,30
"6254",1999,9,18,28.2,29.9
"6278",1999,9,19,27.1,29.7
"6302",1999,9,20,28.9,29.7
"6326",1999,9,21,28.6,29.6
"6350",1999,9,22,25.5,29.4
"6374",1999,9,23,25.6,29.2
"6398",1999,9,24,24.4,29.3
"6422",1999,9,25,27.7,28.9
"6446",1999,9,26,27.8,28.9
"6470",1999,9,27,27.1,28.9
"6494",1999,9,28,28.3,28.9
"6518",1999,9,29,28.2,29.1
"6542",1999,9,30,28.1,29.3
"6566",1999,10,1,28.1,28.9
"6590",1999,10,2,28.5,29
"6614",1999,10,3,28.4,28.8
"6638",1999,10,4,28,28.8
"6662",1999,10,5,28.4,28.7
"6686",1999,10,6,27.7,28.8
"6710",1999,10,7,26.3,28.8
"6734",1999,10,8,28.3,28.5
"6758",1999,10,9,27.8,28.6
"6782",1999,10,10,27.7,28.4
"6806",1999,10,11,27.9,28.4
"6830",1999,10,12,28.1,28.4
"6854",1999,10,13,27.6,28.2
"6878",1999,10,14,27.8,28.2
"6902",1999,10,15,26,28
"6926",1999,10,16,25.7,27.6
"6950",1999,10,17,26.6,27.7
"6974",1999,10,18,25,27.7
"6998",1999,10,19,27.4,27.8
"7022",1999,10,20,27.8,27.9
"7046",1999,10,21,27.6,27.8
"7070",1999,10,22,24.6,27.8
"7094",1999,10,23,20.7,27.4
"7118",1999,10,24,20.5,27.3
"7142",1999,10,25,21.8,26.9
"7166",1999,10,26,25,27
"7190",1999,10,27,22.8,25.9
"7214",1999,10,28,22.6,26.4
"7238",1999,10,29,26,26.6
"7262",1999,10,30,26.4,26.7
"7286",1999,10,31,26.8,26.5
"7310",1999,11,1,26.7,26.5
"7334",1999,11,2,24.5,27
"7358",1999,11,3,20.1,26.5
"7382",1999,11,4,19,26.3
